Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Audi,A4,Sedan,Europe,4WD,26083,73745,5.8,4,120,29,44,4864,124.2,187.9
Honda,F-150,Truck,USA,AWD,60917,23686,2.6,4,152,29,39,3218,127.5,216.4
BMW,Civic,Truck,USA,RWD,34816,60877,3.4,4,374,30,27,3571,107.8,201.4
BMW,3 Series,Sedan,Europe,FWD,57240,67363,3.8,8,412,27,42,5980,106.1,171.6
Chevrolet,3 Series,SUV,USA,FWD,21276,46007,3.9,8,380,13,15,4455,121.2,161.7
Toyota,3 Series,SUV,Europe,RWD,63403,14661,3.7,8,313,10,31,3659,110.1,185.4
Toyota,3 Series,Coupe,Europe,4WD,53663,58843,6.2,8,130,27,27,5772,98.1,198.3
Chevrolet,A4,SUV,Europe,4WD,28994,44137,5,4,436,10,18,2749,104.9,218.8
Chevrolet,3 Series,Sedan,Europe,4WD,38499,74963,4.7,8,282,22,21,4861,109.7,168.9
Chevrolet,Cruze,Truck,Europe,4WD,38040,61556,1.7,4,122,29,31,4392,105.2,216
Honda,Civic,SUV,Asia,RWD,58320,56828,6,,131,29,23,5939,106.6,220.4
Audi,3 Series,Coupe,USA,4WD,31959,62604,6,6,173,32,18,4353,105.3,170.5
Toyota,Civic,SUV,Asia,AWD,71181,24526,5.4,8,109,19,33,5354,96.5,219.6
Honda,Cruze,Sedan,USA,4WD,21099,17374,1.5,8,153,20,15,4003,117.3,229.4
Chevrolet,Cruze,Coupe,Asia,FWD,57267,39592,1.8,4,151,18,24,5885,115.9,210.9
Toyota,Civic,SUV,Europe,4WD,34576,42982,2.6,8,247,18,18,5926,117.9,214.9
Honda,Corolla,Coupe,USA,RWD,50946,14207,2.2,6,259,14,23,5032,101.7,229.6
Audi,F-150,Sedan,USA,FWD,70204,49433,3.5,4,469,10,27,3734,105.3,202.4
Honda,Corolla,Truck,Asia,RWD,66886,65645,6.1,4,113,26,28,2543,116.7,181.6
Audi,Corolla,Sedan,Asia,RWD,21116,37197,3.9,8,277,31,24,5118,116,218.6
Chevrolet,A4,Sedan,USA,FWD,30563,47400,1.6,4,465,11,20,3082,112.7,203
Audi,Corolla,Sedan,Asia,RWD,41788,73446,2.9,4,152,33,30,5663,107.3,200.7
Toyota,3 Series,Sedan,Asia,RWD,41928,74303,1.7,4,434,22,20,3788,127,177.8
Chevrolet,A4,Truck,Asia,4WD,51336,17083,1.7,4,121,18,31,5442,106.9,212.9
Toyota,A4,Truck,Europe,AWD,24847,43328,2.9,4,129,13,24,2719,110.9,165.7
BMW,Cruze,Coupe,Europe,RWD,41155,60479,2.9,4,290,14,32,4425,118.7,224.7
Ford,Corolla,SUV,Asia,RWD,29135,56891,5.4,6,359,20,41,5472,114,182.8
Audi,Cruze,Truck,Asia,RWD,66355,34103,6.4,8,304,33,36,4948,107.1,168.9
Ford,Civic,Truck,Europe,4WD,32774,53891,3.4,6,158,28,32,5971,110.2,191
Ford,F-150,SUV,Europe,AWD,16742,24754,3.6,4,363,30,17,5274,122.8,163
Audi,A4,Truck,USA,FWD,33309,48447,5.7,4,111,12,34,3490,104.7,207.9
Chevrolet,Civic,Sedan,USA,4WD,15619,29901,2.8,8,218,21,41,5446,100,223.2
BMW,Civic,Sedan,Europe,4WD,32658,47004,2.3,6,389,28,35,4312,106,218.6
Toyota,3 Series,SUV,Asia,AWD,65108,21446,5.8,8,437,28,39,3357,124.7,168.9
Honda,F-150,Coupe,Asia,AWD,49707,51211,1.7,6,347,22,42,3303,98.1,168.8
Toyota,Civic,Coupe,Asia,4WD,35337,69922,4.6,4,453,16,29,2989,129.7,216.9
Honda,Civic,SUV,Asia,FWD,74725,62231,4.3,8,226,24,29,4280,113.9,224.7
Toyota,F-150,SUV,USA,4WD,31001,43301,3.2,8,174,32,18,3993,129.5,192.2
Audi,F-150,Sedan,Europe,AWD,15968,40116,3.1,4,460,16,43,5485,127.9,194.9
BMW,Civic,Coupe,Asia,FWD,62614,69251,5.4,8,303,17,41,5391,110.8,182.3
Honda,F-150,Truck,USA,AWD,40892,55323,1.9,6,148,14,23,4205,101.9,222.6
Chevrolet,Civic,Sedan,Asia,FWD,40619,32752,2.7,6,178,30,41,5840,100.8,205.1
Toyota,Civic,SUV,Europe,RWD,15281,46376,5.2,6,340,23,40,4814,103.4,180.2
Toyota,3 Series,Coupe,USA,AWD,42420,30669,4.2,6,448,13,33,2553,119.9,180.9
Honda,Corolla,Truck,Europe,AWD,30360,46916,2.1,4,253,32,38,5075,104.6,222.4
Chevrolet,Civic,Truck,Europe,4WD,54030,27395,5.9,,373,19,42,3115,106.9,161
Chevrolet,Cruze,Sedan,USA,AWD,16058,34421,3.5,6,195,29,31,3582,110.7,182.6
Audi,A4,Coupe,USA,AWD,35677,69701,5.6,,313,24,25,4348,127,198.8
Audi,Corolla,Coupe,USA,RWD,25724,70273,5.4,8,393,27,39,5611,101.6,170.4
Audi,Corolla,SUV,USA,AWD,43404,40342,4.6,8,308,29,23,5808,95.2,166.4
Audi,Corolla,Coupe,USA,RWD,52946,18895,4,4,442,22,24,3454,97.1,217.1
Audi,3 Series,Coupe,USA,RWD,54748,68432,6.4,4,187,17,32,4933,126.7,222.6
Audi,Civic,Sedan,USA,RWD,44856,64164,2.2,6,405,18,34,4129,117.7,217.7
BMW,3 Series,Coupe,Asia,RWD,24200,25023,5.1,8,363,25,27,5281,104.6,222.9
Chevrolet,Civic,Truck,Europe,FWD,79178,24699,2.5,8,489,28,22,5263,101.2,198.7
Audi,3 Series,Sedan,USA,4WD,48997,23715,3.2,4,424,25,21,3149,105.3,216.9
Chevrolet,3 Series,Sedan,Asia,FWD,40611,33169,3,8,476,16,31,4847,99,186.9
Chevrolet,A4,SUV,Asia,AWD,68737,73900,6.2,6,419,23,35,2894,128,206.6
Ford,Cruze,Coupe,Asia,FWD,56235,66877,6.3,8,256,23,37,5778,122.4,229.2
BMW,3 Series,SUV,Europe,FWD,66892,30163,2.4,4,255,34,29,3859,111.2,175.8
Audi,A4,Truck,USA,AWD,50057,67728,1.6,4,238,13,34,5140,125.3,187.3
Toyota,F-150,Sedan,Asia,AWD,16239,19782,5.1,6,220,24,29,5061,103.7,193.6
Honda,Cruze,Sedan,Europe,AWD,53138,36641,3.6,6,164,12,15,5749,120.1,169.7
Toyota,3 Series,Sedan,Europe,FWD,63938,72945,1.9,8,206,14,39,4943,125,165.7
BMW,Corolla,Truck,Europe,FWD,15125,32792,4.9,8,246,10,28,2870,107.5,218.1
Honda,F-150,Truck,Asia,AWD,76409,63492,4.2,4,236,12,19,3357,121.5,228.4
BMW,F-150,SUV,USA,4WD,60272,49585,6.4,6,261,24,25,3290,105.3,188.3
Chevrolet,A4,SUV,Asia,4WD,38857,44682,2.6,6,199,33,30,3157,105.5,166.1
Honda,F-150,SUV,Asia,RWD,76212,61864,3.5,6,437,17,16,5889,98.7,164.6
Chevrolet,Cruze,Coupe,USA,AWD,73552,32880,4.2,8,498,13,22,5283,110.4,222.4
Toyota,3 Series,Sedan,USA,RWD,30398,69114,5.5,6,406,11,25,3892,120.5,192.5
Toyota,3 Series,Sedan,USA,4WD,69494,52067,4.2,4,240,33,43,2883,127.9,182.4
Honda,Corolla,SUV,Europe,RWD,71503,56685,4.6,4,182,33,32,4609,116.1,193.4
Honda,A4,Sedan,USA,AWD,21638,70726,2.6,8,276,19,17,5052,125.2,182.3
Audi,Corolla,SUV,Asia,AWD,21570,32073,5.7,8,297,13,44,2738,123.8,194.2
BMW,F-150,Coupe,USA,AWD,18249,50035,3.6,6,211,12,40,2694,101.1,220.2
Audi,Corolla,Coupe,Asia,FWD,24110,51174,2.2,8,155,11,15,5225,112,201.5
BMW,Cruze,Truck,Europe,RWD,55363,38837,4.8,4,278,34,25,5793,99.1,208.6
Audi,3 Series,Coupe,Asia,4WD,28605,31826,2.6,6,285,26,30,4608,118.9,185.5
Chevrolet,F-150,SUV,Asia,4WD,27115,38981,2,4,317,32,32,3652,128.2,211.7
Honda,Corolla,Coupe,USA,4WD,54062,24382,5.8,6,415,30,44,5537,99.8,206.7
Toyota,A4,Truck,USA,FWD,37911,18437,3.8,8,316,33,30,5232,120.7,168.4
BMW,Cruze,Sedan,Asia,FWD,53525,19435,5.2,6,219,29,37,4515,117.1,200.1
BMW,Cruze,SUV,USA,AWD,47556,38819,3,6,493,32,24,2655,115.4,178
Toyota,Corolla,Sedan,Europe,4WD,27595,50875,5.4,4,274,22,32,5949,108.7,216.3
Audi,3 Series,Truck,Europe,FWD,77799,45982,2.1,4,122,14,20,3422,107.4,189.8
BMW,Corolla,Truck,USA,AWD,16969,47328,3.3,,312,30,33,5415,96.6,229.6
Chevrolet,F-150,Truck,Europe,4WD,58753,26329,6.4,8,334,18,18,5450,102.6,166.5
Honda,Corolla,Sedan,USA,RWD,32275,74069,5.5,8,112,34,41,4109,95.5,214.6
Toyota,Cruze,Sedan,Asia,AWD,19470,39169,4,4,200,34,27,5546,115.3,207.2
Honda,Corolla,Sedan,Asia,FWD,71327,35932,3.2,8,123,31,38,3474,98.7,213.7
BMW,3 Series,Sedan,Europe,FWD,25225,48594,5.9,4,463,15,28,3730,125.6,181.5
BMW,A4,Truck,USA,AWD,57324,25421,4.2,8,110,14,17,4935,113.3,194.4
Toyota,Civic,Truck,USA,AWD,72472,74631,5.3,6,372,34,24,4314,119.5,215.8
Chevrolet,Corolla,SUV,Europe,FWD,56974,59033,5.3,,380,19,20,5434,109.4,176.3
Ford,3 Series,SUV,Asia,RWD,57759,21629,1.6,4,193,17,15,3337,114.6,175.8
Toyota,3 Series,Sedan,Europe,4WD,38196,22325,2.1,6,300,16,37,4507,128,198.6
Ford,A4,Coupe,Asia,RWD,55287,66290,4.8,4,120,16,38,3863,97.9,196.6
Audi,Cruze,Coupe,USA,AWD,28669,42495,2.3,8,439,15,41,4887,103.9,179.8
Ford,3 Series,Truck,Asia,RWD,52380,45750,2.8,8,310,30,28,2703,122.3,180.9
Chevrolet,3 Series,Truck,Europe,FWD,73862,43619,6.2,4,239,29,22,2660,98.5,179.4
Audi,3 Series,Truck,USA,AWD,60141,54461,4.3,8,392,12,33,2891,97.6,214
Ford,3 Series,SUV,Europe,4WD,65350,22264,5.3,4,397,28,28,3268,107.7,205.6
Audi,F-150,SUV,Europe,FWD,76217,26686,4.3,6,200,31,24,5122,98.2,218.3
Ford,F-150,Truck,Asia,FWD,63320,60484,4.3,4,403,24,31,5081,115.5,228.3
Chevrolet,Cruze,Truck,Europe,4WD,62414,38226,2,6,458,13,23,3593,102.9,193.2
Ford,Corolla,Truck,Asia,4WD,53006,20721,3.2,8,127,21,43,5440,126.3,164.7
Ford,3 Series,Coupe,USA,RWD,30577,70154,2.9,6,140,15,20,2904,122.4,163.4
Ford,A4,SUV,Asia,AWD,74818,34609,3.5,8,454,28,25,3107,119.5,180.7
Toyota,Corolla,Coupe,USA,4WD,37473,66130,5.5,4,402,13,39,4114,116.6,225.3
Toyota,A4,Coupe,Asia,4WD,75829,21373,3.4,8,245,24,21,4040,125.2,196.6
Toyota,Corolla,Truck,Europe,AWD,70409,52675,3.8,4,355,18,31,5375,102.8,179
Chevrolet,Cruze,Truck,Asia,4WD,43625,69249,3.5,4,326,14,42,5691,125.6,187.9
Audi,3 Series,Sedan,Asia,4WD,30504,62895,2,6,335,22,42,4337,122.6,201.9
BMW,3 Series,Sedan,USA,RWD,39089,42937,3.7,6,460,32,15,3189,121.2,205.7
Ford,Civic,Coupe,Europe,FWD,51487,19656,2.5,6,479,27,36,5449,114.6,170.8
Ford,A4,SUV,Asia,FWD,15302,73329,2.4,6,112,14,19,3740,103.6,228.4
Chevrolet,Corolla,Truck,Europe,FWD,46463,22984,2,8,309,34,23,4603,109.8,198.1
Ford,Corolla,Truck,Asia,FWD,59912,43984,3.3,8,328,25,32,2865,122.8,169.5
Toyota,F-150,Coupe,Asia,4WD,44259,67411,5.3,,496,28,38,4222,96.1,222.6
BMW,Civic,Sedan,Europe,AWD,65138,22286,2.9,4,199,23,41,2954,122.4,165.2
Honda,F-150,SUV,Asia,AWD,57823,19901,3.1,8,130,34,35,2603,103.4,223.5
Ford,F-150,Sedan,Europe,RWD,52208,45552,4.7,8,485,25,16,2576,100.1,229.8
Toyota,F-150,Sedan,Asia,RWD,69061,39709,2.5,8,115,24,43,2729,99,209
Honda,A4,Sedan,USA,4WD,45659,45055,6,6,236,31,40,4437,96,213.9
BMW,A4,Sedan,Europe,AWD,79288,51685,4.1,,428,13,25,5829,113.3,183.6
Honda,Cruze,Truck,Asia,AWD,50840,22429,3.7,4,265,16,41,5835,102.6,225.9
Toyota,Cruze,Truck,Asia,FWD,46890,28716,4.3,6,409,25,42,4878,129.6,197.1
Audi,F-150,Sedan,USA,4WD,28598,62563,2.3,4,199,33,20,3705,115.1,211.3
Audi,Civic,SUV,Europe,4WD,62055,25138,4.6,8,208,31,40,3392,99.8,224.7
Honda,Corolla,Coupe,Asia,FWD,61733,49298,3.3,6,442,30,22,4073,119.1,228.3
Chevrolet,A4,SUV,USA,4WD,34508,65112,6,4,272,31,18,5235,126.4,218.3
Honda,Civic,SUV,Asia,4WD,57287,37429,2.3,8,336,30,32,4574,121.1,181.2
Ford,3 Series,SUV,Europe,RWD,28380,64200,4,4,261,17,42,5847,97.7,227.7
Ford,A4,Sedan,Asia,AWD,41984,19772,4.5,4,492,26,25,4175,126.4,204
Audi,A4,Truck,Asia,4WD,59633,62244,1.7,4,315,25,19,2798,122.8,225.1
Chevrolet,Cruze,SUV,Asia,RWD,23125,65681,3.3,8,363,32,29,3456,100.5,207.3
Toyota,Corolla,Sedan,Asia,AWD,51059,62519,5.2,8,362,19,42,5346,96.8,181.5
Ford,Corolla,SUV,USA,FWD,19033,49732,5.6,4,391,19,32,3614,114.5,185.9
Audi,3 Series,SUV,USA,RWD,52873,53905,3.1,,373,11,16,5027,100.5,198.5
BMW,3 Series,Sedan,Europe,RWD,32087,31347,5.5,6,102,18,36,5120,124.2,215.3
Audi,A4,Truck,USA,AWD,55901,30920,6.3,8,127,26,25,5005,107.5,182.3
